city,area,bhk,price
Bangalore,1353.0,3.0,4734000.0
Bangalore,743.0,2.0,2578000.0
Bangalore,1042.0,2.0,3645000.0
Bangalore,1241.0,2.0,4342000.0
Bangalore,644.0,1.0,2253000.0
Bangalore,827.0,2.0,2893000.0
Bangalore,747.0,2.0,2614000.0
Bangalore,2000.0,3.0,10500000.0
Bangalore,1352.0,3.0,4867000.0
Bangalore,1352.0,3.0,4735000.0
Bangalore,737.0,2.0,2653000.0
Bangalore,795.0,2.0,2862000.0
Bangalore,954.0,2.0,3339000.0
Bangalore,823.0,2.0,2962000.0
Bangalore,823.0,2.0,2880000.0
Bangalore,644.0,1.0,2318000.0
Bangalore,644.0,2.0,2254000.0
Bangalore,644.0,1.0,2254000.0
Bangalore,826.0,2.0,2973000.0
Bangalore,1353.0,3.0,4870000.0
Bangalore,795.0,2.0,2781000.0
Bangalore,1347.0,3.0,4713000.0
Bangalore,747.0,2.0,2613000.0
Bangalore,1304.0,3.0,4562000.0
Bangalore,1367.0,2.0,4783000.0
Bangalore,1241.0,2.0,4342000.0
Bangalore,823.0,2.0,2879000.0
Bangalore,1370.0,3.0,5045000.0
Bangalore,1175.0,2.0,4362000.0
Bangalore,1500.0,3.0,5500000.0
Bangalore,1233.0,2.0,4565000.0
Bangalore,1100.0,2.0,4000000.0
Bangalore,1300.0,3.0,4800000.0
Bangalore,1210.0,2.0,4485000.0
Bangalore,1075.0,2.0,4011999.0
Bangalore,1220.0,2.0,4520000.0
Bangalore,1155.0,2.0,4292000.0
Bangalore,1280.0,3.0,4730000.0
Bangalore,1350.0,3.0,4975000.0
Bangalore,1330.0,3.0,4905000.0
Bangalore,1135.0,2.0,4222000.0
Bangalore,1070.0,2.0,3995000.0
Bangalore,2019.0,3.0,8076000.0
Bangalore,1005.0,2.0,4700000.0
Bangalore,1193.0,3.0,3579000.0
Bangalore,1124.0,2.0,3372000.0
Bangalore,974.0,2.0,2922000.0
Bangalore,948.0,2.0,2844000.0
Bangalore,967.0,2.0,2901000.0
Bangalore,940.0,2.0,2820000.0
Bangalore,1486.0,3.0,4458000.0
Bangalore,1161.0,3.0,3483000.0
Bangalore,1233.0,3.0,3699000.0
Bangalore,1302.0,3.0,3906000.0
Bangalore,963.0,2.0,2889000.0
Bangalore,1143.0,2.0,3429000.0
Bangalore,1388.0,3.0,4164000.0
Bangalore,1128.0,2.0,3384000.0
Bangalore,1174.0,2.0,2935000.0
Bangalore,1639.0,3.0,4097000.0
Bangalore,1281.0,2.0,3202000.0
Bangalore,1147.0,2.0,2867000.0
Bangalore,1365.0,3.0,3411999.0
Bangalore,870.0,2.0,2436000.0
Bangalore,1000.0,2.0,2800000.0
Bangalore,1075.0,3.0,3010000.0
Bangalore,900.0,2.0,2520000.0
Bangalore,1085.0,2.0,3038000.0
Bangalore,1075.0,3.0,3010000.0
Bangalore,710.0,1.0,3177000.0
Bangalore,2674.0,3.0,10600000.0
Bangalore,1195.0,2.0,7200000.0
Bangalore,2360.0,3.0,20400000.0
Bangalore,2307.0,3.0,17600000.0
Bangalore,2127.0,3.0,20200000.0
Bangalore,1232.0,2.0,10200000.0
Bangalore,1040.0,2.0,4002000.0
Bangalore,1187.0,2.0,4568000.0
Bangalore,1054.0,2.0,4056000.0
Bangalore,1118.0,2.0,4303000.0
Bangalore,1117.0,2.0,4299000.0
Bangalore,1180.0,2.0,4541000.0
Bangalore,1094.0,2.0,4210000.0
Bangalore,1090.0,2.0,4195000.0
Bangalore,1098.0,2.0,4226000.0
Bangalore,1205.0,2.0,4638000.0
Bangalore,1221.0,3.0,4699000.0
Bangalore,1150.0,2.0,4426000.0
Bangalore,1020.0,2.0,3925000.0
Bangalore,1129.0,2.0,4345000.0
Bangalore,1062.0,2.0,4086999.0
Bangalore,1059.0,2.0,4076000.0
Bangalore,1058.0,2.0,4072000.0
Bangalore,1199.0,2.0,4614000.0
Bangalore,1448.0,3.0,4054000.0
Bangalore,1250.0,3.0,3500000.0
Bangalore,1488.0,3.0,4165999.0
Bangalore,1096.0,2.0,3068000.0
Bangalore,1491.0,3.0,4174000.0
Bangalore,1090.0,2.0,3052000.0
Bangalore,1102.0,2.0,3085000.0
Bangalore,1166.0,2.0,3264000.0
Bangalore,920.0,2.0,2576000.0
Bangalore,1142.0,2.0,3197000.0
Bangalore,1551.0,3.0,4342000.0
Bangalore,1135.0,2.0,3178000.0
Bangalore,1505.0,3.0,3913000.0
Bangalore,1370.0,3.0,3561999.0
Bangalore,1533.0,3.0,4292000.0
Bangalore,1115.0,2.0,2899000.0
Bangalore,1125.0,2.0,2925000.0
Bangalore,1066.0,2.0,2984000.0
Bangalore,1465.0,3.0,3809000.0
Bangalore,1675.0,3.0,6698000.0
Bangalore,1240.0,2.0,4958000.0
Bangalore,1240.0,2.0,4958000.0
Bangalore,1220.0,2.0,4878000.0
Bangalore,1220.0,2.0,4878000.0
Bangalore,1225.0,2.0,4898000.0
Bangalore,1225.0,2.0,4898000.0
Bangalore,1270.0,2.0,5078000.0
Bangalore,1270.0,2.0,5078000.0
Bangalore,1075.0,2.0,4500000.0
Bangalore,1075.0,3.0,3010000.0
Bangalore,870.0,2.0,2436000.0
Bangalore,1000.0,2.0,2800000.0
Bangalore,1210.0,3.0,3388000.0
Bangalore,900.0,2.0,2520000.0
Bangalore,1085.0,2.0,3038000.0
Bangalore,880.0,2.0,2464000.0
Bangalore,1075.0,2.0,4500000.0
Bangalore,1414.0,3.0,5797000.0
Bangalore,1120.0,2.0,4928000.0
Bangalore,1185.0,3.0,4147000.0
Bangalore,1000.0,2.0,4400000.0
Bangalore,1373.0,3.0,7211000.0
Bangalore,1109.0,2.0,5910000.0
Bangalore,1415.0,3.0,7423000.0
Bangalore,1782.0,3.0,9227000.0
Bangalore,1383.0,3.0,7263000.0
Bangalore,1227.0,2.0,6494000.0
Bangalore,1626.0,3.0,8458000.0
Bangalore,1755.0,3.0,9094000.0
Bangalore,1502.0,3.0,7847000.0
Bangalore,1233.0,2.0,6520999.0
Bangalore,1367.0,3.0,7184000.0
Bangalore,1098.0,2.0,5858000.0
Bangalore,1470.0,3.0,7689000.0
Bangalore,1211.0,3.0,6415000.0
Bangalore,1077.0,2.0,5752000.0
Bangalore,1206.0,2.0,6388000.0
Bangalore,1346.0,3.0,7078000.0
Bangalore,1087.0,2.0,5804000.0
Bangalore,2185.0,3.0,11200000.0
Bangalore,1453.0,3.0,7608000.0
Bangalore,1200.0,2.0,6361000.0
Bangalore,1572.0,3.0,8192000.0
Bangalore,1179.0,2.0,6255000.0
Bangalore,1701.0,3.0,8830000.0
Bangalore,1841.0,3.0,9517000.0
Bangalore,1443.0,3.0,7556000.0
Bangalore,1442.0,3.0,7554000.0
Bangalore,1173.0,2.0,6228000.0
Bangalore,1448.0,3.0,7581000.0
Bangalore,2121.0,3.0,10800000.0
Bangalore,1168.0,2.0,6203000.0
Bangalore,1411.0,3.0,7398000.0
Bangalore,1141.0,2.0,6070000.0
Bangalore,1276.0,3.0,6733000.0
Bangalore,1152.0,2.0,6125000.0
Bangalore,1550.0,3.0,8086000.0
Bangalore,1389.0,3.0,7290000.0
Bangalore,1260.0,3.0,6654000.0
Bangalore,1529.0,3.0,7980000.0
Bangalore,1395.0,3.0,7322000.0
Bangalore,1136.0,2.0,6043000.0
Bangalore,1270.0,3.0,6706000.0
Bangalore,1399.0,3.0,7342000.0
Bangalore,1650.0,3.0,7800000.0
Bangalore,1500.0,3.0,6800000.0
Bangalore,1100.0,2.0,4455000.0
Bangalore,1000.0,2.0,4100000.0
Bangalore,1140.0,2.0,5700000.0
Bangalore,1220.0,2.0,6000000.0
Bangalore,1150.0,2.0,5755000.0
Bangalore,1350.0,3.0,6695000.0
Bangalore,1180.0,2.0,5896000.0
Bangalore,1130.0,2.0,5600000.0
Bangalore,1160.0,2.0,5800000.0
Bangalore,1325.0,3.0,6577000.0
Bangalore,1090.0,2.0,5473000.0
Bangalore,1170.0,2.0,5849000.0
Bangalore,1165.0,2.0,5825000.0
Bangalore,1095.0,2.0,4489000.0
Bangalore,1160.0,2.0,5800000.0
Bangalore,1810.0,3.0,16900000.0
Bangalore,1740.0,3.0,14900000.0
Bangalore,1630.0,3.0,14100000.0
